"Date d'entrée"	"Date de sortie"	"Type"	"Nb barres"	"Perf abs"	"Perf relat(%)"	"MFE"	"MAE"	"Gain unitaire"
"5 nov. 2019, 17:00:00"	"15 nov. 2019, 01:00:00"	"Court"	"45"	"240,00€"	"+1,08%"	"545,80€"	"-90,20€"	"+16,0"
"31 oct. 2019, 09:00:00"	"5 nov. 2019, 17:00:00"	"Long"	"21"	"-238,40€"	"-0,99%"	"219,00€"	"-238,60€"	"-14,9"
"29 oct. 2019, 13:00:00"	"31 oct. 2019, 09:00:00"	"Court"	"11"	"-238,00€"	"-0,94%"	"0,00€"	"-234,60€"	"-14,0"
"8 oct. 2019, 09:00:00"	"21 oct. 2019, 01:00:00"	"Court"	"54"	"-7,20€"	"-0,04%"	"149,00€"	"-298,60€"	"-0,6"
"3 oct. 2019, 13:00:00"	"8 oct. 2019, 09:00:00"	"Long"	"18"	"-129,80€"	"-0,79%"	"118,20€"	"-272,90€"	"-11,8"
"26 sept. 2019, 13:00:00"	"3 oct. 2019, 13:00:00"	"Court"	"31"	"84,50€"	"+0,43%"	"600,60€"	"0,00€"	"+6,5"
"18 sept. 2019, 21:00:00"	"20 sept. 2019, 09:00:00"	"Court"	"9"	"-158,40€"	"-0,97%"	"0,00€"	"-158,40€"	"-14,4"
"6 sept. 2019, 01:00:00"	"18 sept. 2019, 09:00:00"	"Court"	"52"	"144,90€"	"+1,06%"	"280,40€"	"-21,10€"	"+16,1"
"3 sept. 2019, 17:00:00"	"6 sept. 2019, 01:00:00"	"Long"	"14"	"-293,70€"	"-1,73%"	"101,40€"	"-339,70€"	"-26,7"
"1 sept. 2019, 21:00:00"	"3 sept. 2019, 17:00:00"	"Court"	"11"	"-134,00€"	"-0,88%"	"86,00€"	"-145,00€"	"-13,4"
"19 août 2019, 17:00:00"	"23 août 2019, 21:00:00"	"Court"	"25"	"-239,40€"	"-1,77%"	"52,00€"	"-241,40€"	"-26,6"
"2 août 2019, 01:00:00"	"19 août 2019, 17:00:00"	"Long"	"73"	"623,00€"	"+4,33%"	"884,10€"	"-66,90€"	"+62,3"
"1 août 2019, 05:00:00"	"2 août 2019, 01:00:00"	"Court"	"5"	"-370,50€"	"-2,02%"	"54,60€"	"-433,50€"	"-28,5"
"25 juil. 2019, 21:00:00"	"30 juil. 2019, 01:00:00"	"Court"	"14"	"-140,40€"	"-0,76%"	"0,00€"	"-143,20€"	"-10,8"
